Year,State,Type,Number,Companion,URL,Status,Description,Author/Sponsor,Level,Open Mentioned,Enacted,,,,47
2017,Connecticut,Adjourned,SB 948,,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&which_year=2017&bill_num=948,Signed by Governor - 06/30/2017,The Office of Higher Education may establish guidelines that encourage institutions of higher education to implement programs that reduce the cost of textbooks and other educational resources for students,Higher Education and Employment Advancement Committee,Higher Ed,No,Yes,Nicole: digital discount bill. Worked with UConn library director to testify against.,,,
2018,Connecticut,Legislation,HB 5037,,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&which_year=2018&bill_num=5037,"Introduced, referred to Joint Committee on Higher Education and Employment Advancement  - 02/08/2018

Public hearing scheduled for 02/27/2018",This Act would establish the division of postsecondary education. The division of postsecondary education within the Department of Education and the constituent units of the state system of higher education may each establish guidelines that encourage institutions of higher education in this state to implement programs that reduce the cost of textbooks and other educational resources for students.,"Aresimowicz, Ritter, Looney, Duff",Higher Ed,No,No,,,,
2019,Connecticut,Legislation,HB 7162,,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&which_year=2019&bill_num=7162,"Introduced, referred to Joint Committee on Higher Education and Employment Advancement - 02/21/2019

Public hearing - 03/05/2019 

Joint favorable substitute - 03/14/2019

Referred by House to Committee on Appropriations - 04/10/2019","This bill establishes the Connecticut Open Educational Resource Coordinating Council - The council shall: identify high-impact courses for which OER will be developed, converted, or adopted; establish a program of competitive grants for faculty members of institutions of higher education in the state for the development, conversion, or adoption of OER for high-impact courses; accept, review, and approve competitive grant applications provided the faculty member approved for the grant licenses the OER through a create commons attribution license; administer a standardized review and approval process for the development, conversion, or adoption of OER; establish a state-sponsored digital clearinghouse that shall function as a database for OER; and promote strategies for the production use and access of OER.",HIgher Education and Employment Advancement Committee,Higher Ed,Yes,No,,,,
2019,Connecticut,Legislation,HB 7424,,https://www.cga.ct.gov/asp/cgabillstatus/cgabillstatus.asp?selBillType=Bill&which_year=2019&bill_num=7424,"Signed by the Governor - 06/26/2019
","Broad budget bill. Includes Sec. 174 to establish the Connecticut OER Coordinating Council under the Office of Higher Education. This council shall identify high-impact courses for which open educational resources will be developed, converted, or adopted. The council would also establish a program of competitive grants for faculty members of institutions of higher education in the state for the development, conversion, or adoption of OER for high-impact courses. The council shall also promote strategies for the production, use and access of OER, among other actions. Fiscal note specifies $75,000 for grants.","Aresimowicz, Ritter, Looney, Duff",Higher Ed,Yes,Yes,,,,
2015,Florida,Legislation,SB 938,,http://www.flsenate.gov/Session/Bill/2015/0938/BillText/__/PDF,Died on 5/1/15 in Appropriations Subcommittee on Education,"An Act Relating to Postsecondary Education Affordability: This bill requires the Board of Governors and State Board of Education to continue to ensure college affordability, which includes strategies and initiatives to reduce the cost of higher education - these strategies must include consideration of the cost of textbooks and instructional materials - this includes expanding the use of open-access textbooks and instructional materials",Anitere Flores,Higher Ed,yes,no,1/12/2016,,,
2015,Florida,Legislation,SB 948,,http://www.flsenate.gov/Session/Bill/2015/0948/BillText/c2/PDF,Died on Calendar 5/1/15,"An Act Relating to Education: This bill requires the Board of Governors and State Board of Education to continue to ensure college affordability, which includes strategies and initiatives to reduce the cost of higher education - these strategies must include consideration of the cost of textbooks and instructional materials - this includes expanding the use of open-access textbooks and instructional materials",Don Gaetz,Higher Ed,yes,no,1/12/2016,,,
2016,Florida,Legislation,HB 7019,SB 984,http://www.flsenate.gov/Session/Bill/2016/7019,Signed by Governor - 4/14/16,"Postsecondary Access and Affordability. Each Florida College System Institution and state university shall adopt textbook and instructional materials affordability policies, procedures and guidelines in order to minimize the costs of textbooks. This includes course instructors using open-access textbooks, where possible and instructors are encouraged to develop, adapt, and review open-access textbooks especially in high-demand general education courses.","Elizabeth Porter, Frank Artiles, Robert Cortes",Higher Ed,yes,yes,,,,
2016,Florida,Legislation,HB 899,SB 1018,http://www.flsenate.gov/Session/Bill/2016/0899/?Tab=BillHistory,Died in K-12 subcommittee - 3/11/16,"An Act Relating to Instructional Materials for K-12 Public Education: The district school board has the constitutional duty and responsibility to select and provide adequate instructional materials for all students in accordance with the requirements under this Act - instructional materials is defined to include electronic content, electronic media, computer courseware or software, so long as it is designated for student use",Ray Pilon,K-12,no,no,,,,
2016,Florida,Legislation,SB 1018,HB 899,http://www.flsenate.gov/Session/Bill/2016/1018/?Tab=BillHistory,Died in Education Pre-K - 3/11/16,"An Act Relating to Instructional Materials for K-12 Public Education: The district school board has the constitutional duty and responsibility to select and provide adequate instructional materials for all students in accordance with the requirements under this Act - instructional materials is defined to include electronic content, electronic media, computer courseware or software, so long as it is designated for student use",Alan Hays,K-12,no,no,,,,
2016,Florida,Legislation,SB 984,HB 7019,http://www.flsenate.gov/Session/Bill/2016/0984,Substituted HB7019 - Laid on table - Refer to HB7019 - 3/9/16,"Education Access and Affordability: This bill requires each Florida College System Institution and state university board of trustees to examine the cost of textbooks and instructional materials for all general education courses offered at an institution to determine affordability. One factor they must look at is whether any course instructors or academic departments are using open-access textbooks and instructional materials, particularly in high-demand general education courses.",John Legg,Higher Ed,yes,no,,,,
